Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,86163,Rensselaer Polytechnic Institute,University,Business Support,Agriculture,,,Lighting Technology Greenhouse,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,10/30/09,1024527
12/8/20,113793,Urban Electric Power Inc,Corporate,Demonstration,Agriculture,,,Zinc Battery Based Demand Reduction Unit for Dairy Farmers,401 N Middletown Rd Bldg 155,Pearl River,NY,10965,http://www.urbanelectricpower.com,8/6/19,245000
12/8/20,84972,Gotham Greens Jamaica LLC,Early Stage Company,Demonstration,Agriculture,,,Demonstration of an innovative crop production automation system in a hydroponic,810 Humboldt St,Brooklyn,NY,11222,http://www.gothamgreens.com,8/15/14,250000
12/8/20,108926,Cornell University,University,Demonstration,Agriculture,,,A Novel System for Cooling Dairy Cows,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,10/31/12,288213
12/8/20,109238,Rensselaer Polytechnic Institute,University,Demonstration,Agriculture,,,Study of Light-Emitting Diodes (LEDs) in Controlled Environment Agriculture,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,8/8/14,315541
12/8/20,86701,"Krinos Foods, Inc.",Corporate,Demonstration,Agriculture,,,Energy-Efficient Olive Packaging Process:Demo of Ozone Technology in Olive Produ,4700 Northern Blvd,Long Island City,NY,11101,http://www.krinos.com,9/21/00,342000
12/8/20,86420,Cornell University,University,Demonstration,Agriculture,,,Develop-Demo Electrotechnology for Dairy Farmstead,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,11/8/94,1129778
12/8/20,86707,"Hollow Road Farms, Inc.",Early Stage Company,Product Development,Agriculture,,,Energy-Efficient Wool Scouring:Sheep Works,271 Hollow Rd,Stuyvesant,NY,12173,https://www.froghollow.us.com/,4/10/00,216262
12/8/20,86476,Cornell University,University,Product Development,Agriculture,,,Demo of CEA Lettuce Production Module,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,2/27/97,570622
12/8/20,86393,Cornell University,University,Product Development,Agriculture,energy efficiency,,Energy Efficiency in Controlled Environmental Agriculture,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,2/27/91,727325
12/8/20,86475,"Agway Consumer Products, Inc.",Corporate,Product Development,Agriculture,,,Demo of CEA Lettuce Production Module:Demo Controlled Env Agric Lettuce-Prod Mod,3717 Yaegel Rd,Geneva,NY,14456,https://www.agway.com/products,3/31/97,988000
12/8/20,86732,Bilow Dairy Farm,Other,Research Study,Agriculture,,,Long Day Lighting for Milk Production Enhancement:Long day lighting to enhance m,1143 County Route 24,Malone,NY,12953,,8/16/00,626504
12/8/20,86718,Cornell University,University,Research Study,Agriculture,,,Commercially-viable CEA Spinach Production System,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,3/28/00,743182
12/8/20,84759,Battery Energy Storage System,Early Stage Company,Business Support,Batteries,,,COMMERCIALIZATION OF SILICON-BASED ANODES FOR LITHIUM-ION ENERGY STORAGE SYSTEMS,"291 River St #318,",Troy,NY,12180,http://www.bess-tech.com/,4/26/12,99000
12/8/20,85027,The Research Foundation of SUNY at Bing,University,Business Support,Batteries,,,Northeast Center for Chemical Energy Storage,85 Murray Hill Rd,Vestal,NY,13850,http://research.binghamton.edu/researchfoundation.php,9/10/15,199250
12/8/20,84671,The Paper Battery Company,Early Stage Company,Business Support,Batteries,,,Market Development for Paper Battery Company Products,165 Jordan Rd,Troy,NY,12180,http://www.pbctechco.com,3/8/11,200000
12/8/20,85761,Consolidated Edison Company,Utility,Business Support,Batteries,,,NYSERDA/Con Ed Joint Battery Safety Program,4 Irving Pl Fl 10,New York,NY,10003,http://www.coned.com,11/5/15,250000
12/8/20,85022,Research Foundation of SUNY,University,Business Support,Batteries,,,Center for Mesoscale Transport Properties,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,6/8/16,391000
12/8/20,88312,Charge CCCV LLC,Early Stage Company,Business Support,Batteries,,,"Charge CCCV, LLC 76West","45 Murray Hill Rd.
Center of Excellence Room 2226",Vestal,NY,13850,http://www.chargecccv.com,1/26/17,500000
12/8/20,87281,Electrovaya Company,Corporate,Business Support,Batteries,,,Electrovaya's Lithium Ion SuperPolymer Battery Technology,6688 Kitimat Road,Mississauga,Ontario,,http://www.electrovaya.com,6/14/06,770000
12/8/20,84834,"Urban Electric Power, LLC",Corporate,Business Support,Batteries,,,Urban Electric Power Manufacturing Facility & Operations,401 N Middletown Rd Bldg 155,Pearl River,NY,10965,http://www.urbanelectricpower.com,3/22/13,999862
12/8/20,84835,NOHMS Technologies,Early Stage Company,Business Support,Batteries,,,Build-out of Pilot Line Facility and R&D Lab for Commercial Development of Lithi,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,9/26/13,1000000
12/8/20,84665,New York Battery and Energy Storage,Industry / Trade Association,Business Support,Batteries,,,Operating funds and support for the BEST Test and Commercialization Center,230 Washington Avenue Ext Ste 101,Albany,NY,12203,https://www.ny-best.org/,8/25/10,33135000
12/8/20,87376,Premium Power Corporation,Early Stage Company,Demonstration,Batteries,,,Energy Storage System Demonstration at Niagara Falls State Park,87 Concord St,North Reading,MA,1864,http://www.premiumpower.com,5/15/09,190417
12/8/20,74032,"Kawasaki Rail Car, Inc.",Corporate,Demonstration,Batteries,,,Nickel-Metal Hydride Battery Power for Trackside Energy Storage,29 Wells Ave Bldg 4,Yonkers,NY,10701,http://www.kawasakirailcar.com,7/8/09,253334
12/8/20,85731,"Bright Power, Inc.",Corporate,Demonstration,Batteries,,,Integrating PV and Energy Storage for Peak Shaving and Backup in NYC,11 Hanover Square 21st Floor,New York,New York,10005,http://www.brightpower.com/,12/2/15,326500
